READ latency raw data: op, timestamp(ms), latency(us)
read,623012,1684501834026
read,6206,1684501834086
read,8417,1684501834094
read,6154,1684501834114
read,6205,1684501834120
read,5843,1684501834146
read,11564,1684501834169
read,8610,1684501834189
read,5673,1684501834195
read,5575,1684501834201
read,5833,1684501834207
read,5803,1684501834233
read,5761,1684501834239
read,5360,1684501834250
read,5274,1684501834255
read,5404,1684501834260
read,6832,1684501834267
read,9500,1684501834292
read,5443,1684501834316
read,9290,1684501834326
read,5862,1684501834331
read,8041,1684501834340
read,5080,1684501834350
read,7080,1684501834357
read,5083,1684501834375
read,4460,1684501834419
read,5954,1684501834425
read,6949,1684501834432
read,5187,1684501834437
read,5795,1684501834443
read,5797,1684501834457
read,5942,1684501834463
read,5291,1684501834474
read,5227,1684501834488
read,11129,1684501834499
read,6011,1684501834510
read,4287,1684501834514
read,5179,1684501834525
read,4957,1684501834530
read,7808,1684501834538
read,5104,1684501834543
read,11366,1684501834555
read,5303,1684501834582
read,4574,1684501834604
read,4326,1684501834636
read,4743,1684501834641
read,4382,1684501834650
read,6210,1684501834661
read,9074,1684501834680
read,4763,1684501834684
read,7087,1684501834692
read,4777,1684501834696
read,4284,1684501834701
read,5358,1684501834716
read,4617,1684501834738
read,9095,1684501834757
read,4168,1684501834772
read,5166,1684501834778
read,4311,1684501834795
read,4696,1684501834817
read,4472,1684501834822
read,4936,1684501834827
read,7214,1684501834841
read,4406,1684501834845
read,4446,1684501834854
read,4585,1684501834859
read,5145,1684501834869
read,10842,1684501834880
read,4343,1684501834885
read,4433,1684501834910
read,6427,1684501834917
read,4198,1684501834925
read,4185,1684501834929
read,4114,1684501834938
read,7711,1684501834945
read,4610,1684501834958
read,4341,1684501834963
read,4632,1684501834967
read,4426,1684501834978
read,4966,1684501834983
read,4737,1684501834988
read,4111,1684501834996
read,4705,1684501835005
read,4214,1684501835009
read,5054,1684501835019
read,4001,1684501835023
read,10580,1684501835067
read,4682,1684501835072
read,4074,1684501835076
read,5260,1684501835089
read,7318,1684501835097
read,4205,1684501835110
read,3880,1684501835122
read,4754,1684501835126
read,6034,1684501835137
read,7118,1684501835144
read,4218,1684501835148
read,6989,1684501835164
read,6184,1684501835170
read,4029,1684501835179
read,4066,1684501835183
read,4396,1684501835195
read,3945,1684501835199
read,5143,1684501835208
read,4595,1684501835213
read,6683,1684501835220
read,8023,1684501835228
read,4021,1684501835232
read,5100,1684501835254
read,4118,1684501835258
read,11690,1684501835270
read,4110,1684501835274
read,9052,1684501835287
read,4065,1684501835296
read,3860,1684501835304
read,4954,1684501835309
read,6463,1684501835316
read,3880,1684501835319
read,4575,1684501835324
read,4450,1684501835334
read,4171,1684501835338
read,4530,1684501835342
read,3932,1684501835346
read,3881,1684501835350
read,3883,1684501835367
read,5938,1684501835377
read,5185,1684501835388
read,5912,1684501835394
read,6105,1684501835427
read,5593,1684501835442
read,5791,1684501835452
read,4164,1684501835456
read,4106,1684501835465
read,7006,1684501835472
read,4196,1684501835477
read,7569,1684501835495
read,3859,1684501835507
read,3729,1684501835527
read,3697,1684501835542
read,3902,1684501835579
read,3948,1684501835591
read,3759,1684501835595
read,3939,1684501835606
read,6166,1684501835624
read,3836,1684501835633
read,3740,1684501835637
read,5152,1684501835642
read,3701,1684501835652
read,3945,1684501835656
read,4663,1684501835664
read,4083,1684501835674
read,5522,1684501835679
read,7448,1684501835687
read,4187,1684501835691
read,5350,1684501835704
read,3853,1684501835708
read,3908,1684501835712
read,3701,1684501835716
read,6046,1684501835733
read,3868,1684501835744
read,6198,1684501835754
read,7166,1684501835778
read,3678,1684501835782
read,4121,1684501835786
read,6327,1684501835792
read,3886,1684501835796
read,3754,1684501835813
read,3656,1684501835816
read,3632,1684501835824
read,6206,1684501835842
read,3808,1684501835846
read,3586,1684501835853
read,3644,1684501835857
read,3578,1684501835870
read,3580,1684501835877
read,4562,1684501835882
read,6416,1684501835888
read,6281,1684501835898
read,5599,1684501835941
read,3506,1684501835952
read,3723,1684501835956
read,4041,1684501835970
read,3745,1684501835973
read,3724,1684501835994
read,8141,1684501836014
read,3619,1684501836035
read,9356,1684501836060
read,4500,1684501836064
read,5013,1684501836069
read,3941,1684501836085
read,5787,1684501836095
read,3494,1684501836102
read,3900,1684501836119
read,3571,1684501836126
read,3756,1684501836134
read,3803,1684501836143
read,3662,1684501836147
read,3684,1684501836151
read,3582,1684501836154
read,3727,1684501836162
read,3675,1684501836170
read,3630,1684501836174
read,3756,1684501836178
read,3543,1684501836190
read,7051,1684501836197
read,3722,1684501836200
read,4209,1684501836205
read,3389,1684501836223
read,3571,1684501836233
read,3896,1684501836263
read,3225,1684501836270
read,3598,1684501836273
read,7499,1684501836281
read,3407,1684501836284
read,6708,1684501836301
read,5943,1684501836310
read,7345,1684501836330
read,3837,1684501836334
read,3647,1684501836344
read,3644,1684501836347
read,3664,1684501836351
read,3801,1684501836355
read,3304,1684501836370
read,3527,1684501836373
read,3407,1684501836377
read,3823,1684501836393
read,3547,1684501836400
read,3375,1684501836411
read,4740,1684501836416
read,7115,1684501836423
read,3520,1684501836436
read,3573,1684501836444
read,3448,1684501836451
read,3604,1684501836458
read,3555,1684501836465
read,3405,1684501836469
read,3492,1684501836472
read,6328,1684501836495
read,3418,1684501836506
read,3049,1684501836525
read,3299,1684501836529
read,3328,1684501836537
read,3418,1684501836540
read,3361,1684501836544
read,3552,1684501836547
read,6410,1684501836554
read,4949,1684501836582
read,3524,1684501836585
read,3519,1684501836593
read,3484,1684501836596
read,3557,1684501836607
read,5118,1684501836612
read,3617,1684501836624
read,3510,1684501836628
read,3344,1684501836631
read,6657,1684501836648
read,3710,1684501836665
read,3423,1684501836668
read,3725,1684501836672
read,5380,1684501836677
read,3572,1684501836681
read,3375,1684501836692
read,3343,1684501836695
read,3408,1684501836699
read,3131,1684501836705
read,3516,1684501836719
read,3679,1684501836722
read,4036,1684501836727
read,3474,1684501836734
read,3199,1684501836760
read,3430,1684501836767
read,3315,1684501836774
read,3424,1684501836781
read,3763,1684501836797
read,3405,1684501836801
read,3382,1684501836804
read,3133,1684501836807
read,3205,1684501836814
read,3634,1684501836817
read,3209,1684501836833
read,3167,1684501836840
read,3287,1684501836847
read,3363,1684501836850
read,3350,1684501836860
read,3288,1684501836863
read,3513,1684501836866
read,3248,1684501836890
read,3207,1684501836900
read,3235,1684501836907
read,4962,1684501836923
read,3851,1684501836927
read,3351,1684501836931
read,3407,1684501836934
read,3562,1684501836945
read,3357,1684501836948
read,3367,1684501836960
read,3828,1684501836964
read,3345,1684501836974
read,3371,1684501836977
read,3230,1684501837014
read,5908,1684501837027
read,3563,1684501837037
read,3235,1684501837048
read,5106,1684501837053
read,3014,1684501837065
read,3347,1684501837072
read,7167,1684501837089
read,4507,1684501837097
read,10023,1684501837107
read,3685,1684501837111
read,7929,1684501837125
read,5353,1684501837153
read,3550,1684501837163
read,3058,1684501837166
read,3037,1684501837169
read,3307,1684501837173
read,3315,1684501837176
read,3226,1684501837215
read,3213,1684501837218
read,3366,1684501837224
read,4102,1684501837232
read,3383,1684501837242
read,3135,1684501837248
read,3097,1684501837251
read,4771,1684501837256
read,6475,1684501837262
read,3444,1684501837281
read,6194,1684501837287
read,3091,1684501837295
read,3074,1684501837298
read,3361,1684501837321
read,4020,1684501837329
read,3182,1684501837332
read,2971,1684501837335
read,5895,1684501837341
read,7363,1684501837348
read,3112,1684501837361
