"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","value","timestamp"
"client","W7","T1","consensus","raft","latency","read",9292,1712506438328
"client","W7","T1","consensus","raft","latency","read",7463,1712506438336
"client","W7","T1","consensus","raft","latency","read",4592,1712506438350
"client","W7","T1","consensus","raft","latency","read",7817,1712506438358
"client","W7","T1","consensus","raft","latency","read",3957,1712506438385
"client","W7","T1","consensus","raft","latency","read",3904,1712506438389
"client","W7","T1","consensus","raft","latency","read",3846,1712506438412
"client","W7","T1","consensus","raft","latency","read",5881,1712506438426
"client","W7","T1","consensus","raft","latency","read",4593,1712506438431
"client","W7","T1","consensus","raft","latency","read",3688,1712506438435
"client","W7","T1","consensus","raft","latency","read",3869,1712506438439
"client","W7","T1","consensus","raft","latency","read",5316,1712506438444
"client","W7","T1","consensus","raft","latency","read",4006,1712506438448
"client","W7","T1","consensus","raft","latency","read",4806,1712506438453
"client","W7","T1","consensus","raft","latency","read",3624,1712506438457
"client","W7","T1","consensus","raft","latency","read",3705,1712506438472
"client","W7","T1","consensus","raft","latency","read",9016,1712506438481
"client","W7","T1","consensus","raft","latency","read",3754,1712506438485
"client","W7","T1","consensus","raft","latency","read",3657,1712506438489
"client","W7","T1","consensus","raft","latency","read",3709,1712506438492
"client","W7","T1","consensus","raft","latency","read",5760,1712506438502
"client","W7","T1","consensus","raft","latency","read",5019,1712506438511
"client","W7","T1","consensus","raft","latency","read",3353,1712506438550
"client","W7","T1","consensus","raft","latency","read",3296,1712506438556
"client","W7","T1","consensus","raft","latency","read",3198,1712506438578
"client","W7","T1","consensus","raft","latency","read",3446,1712506438581
"client","W7","T1","consensus","raft","latency","read",3963,1712506438591
"client","W7","T1","consensus","raft","latency","read",3947,1712506438600
"client","W7","T1","consensus","raft","latency","read",9635,1712506438609
"client","W7","T1","consensus","raft","latency","read",3297,1712506438613
"client","W7","T1","consensus","raft","latency","read",2978,1712506438626
"client","W7","T1","consensus","raft","latency","read",3017,1712506438629
"client","W7","T1","consensus","raft","latency","read",3129,1712506438632
"client","W7","T1","consensus","raft","latency","read",3187,1712506438642
"client","W7","T1","consensus","raft","latency","read",3054,1712506438648
"client","W7","T1","consensus","raft","latency","read",5981,1712506438661
"client","W7","T1","consensus","raft","latency","read",3669,1712506438676
"client","W7","T1","consensus","raft","latency","read",4472,1712506438681
"client","W7","T1","consensus","raft","latency","read",3526,1712506438696
"client","W7","T1","consensus","raft","latency","read",3212,1712506438699
"client","W7","T1","consensus","raft","latency","read",6628,1712506438712
"client","W7","T1","consensus","raft","latency","read",3189,1712506438721
"client","W7","T1","consensus","raft","latency","read",4299,1712506438732
"client","W7","T1","consensus","raft","latency","read",2990,1712506438735
"client","W7","T1","consensus","raft","latency","read",2909,1712506438738
"client","W7","T1","consensus","raft","latency","read",3001,1712506438741
"client","W7","T1","consensus","raft","latency","read",5613,1712506438755
"client","W7","T1","consensus","raft","latency","read",3482,1712506438758
"client","W7","T1","consensus","raft","latency","read",5890,1712506438764
