"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","count","min","max","mean","p1","p5","p50","p90","p95","p99","p99.9","p99.99"
"client","W7","T1","consensus","raft","latency","read",5068,1381,24473,2223.56846882399,1477,1542,1798,3190.8,4256.09999999999,8004.31,14983.285,23586.7817000002
"client","W7","T1","consensus","raft","latency","update",4932,1405,576707,2348.48925385239,1486.31,1555,1810,3251,4454.15,8097.45999999999,12517.1910000002,305617.878500173
"client","W7","T1","consensus","raft","overall","read_count",1,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068,5068
"client","W7","T1","consensus","raft","overall","update_count",1,4932,4932,4932,4932,4932,4932,4932,4932,4932,4932,4932
"client","W7","T1","consensus","raft","overall","total_ops_count",1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
"client","W7","T1","consensus","raft","overall","runtime_sec",1,22.417,22.417,22.417,22.417,22.417,22.417,22.417,22.417,22.417,22.417,22.417
"client","W7","T1","consensus","raft","overall","throughput",1,446.090020966231,446.090020966231,446.090020966231,446.090020966231,446.090020966231,446.090020966231,446.090020966231,446.090020966231,446.090020966231,446.090020966231,446.090020966231
"client","W7","T2","consensus","bizur","latency","read",4976,1006,24998,1997.54240353698,1059,1111.75,1688,3262.5,4213,7401,14389.2749999998,23334.8575000017
"client","W7","T2","consensus","bizur","latency","update",5024,1558,389081,2845.66401273885,1679,1753.15,2342.5,4312.7,5397.95,9186.16,18466.724,206461.798199962
"client","W7","T2","consensus","bizur","overall","read_count",1,4976,4976,4976,4976,4976,4976,4976,4976,4976,4976,4976
"client","W7","T2","consensus","bizur","overall","update_count",1,5024,5024,5024,5024,5024,5024,5024,5024,5024,5024,5024
"client","W7","T2","consensus","bizur","overall","total_ops_count",1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
"client","W7","T2","consensus","bizur","overall","runtime_sec",1,23.975,23.975,23.975,23.975,23.975,23.975,23.975,23.975,23.975,23.975,23.975
"client","W7","T2","consensus","bizur","overall","throughput",1,417.101147028154,417.101147028154,417.101147028154,417.101147028154,417.101147028154,417.101147028154,417.101147028154,417.101147028154,417.101147028154,417.101147028154,417.101147028154
"client","W7","T3","consensus","bizur","latency","read",5027,983,31166,2835.80923015715,1098,1180.3,2524,4387.4,5721.1,10430.2,21254.0980000001,29553.1566000006
"client","W7","T3","consensus","bizur","latency","update",4973,1628,391950,3744.52161673034,1720,1849,3347,5660.4,6983.6,11960.84,23677.4840000004,210808.604400075
"client","W7","T3","consensus","bizur","overall","read_count",1,5027,5027,5027,5027,5027,5027,5027,5027,5027,5027,5027
"client","W7","T3","consensus","bizur","overall","update_count",1,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973,4973
"client","W7","T3","consensus","bizur","overall","total_ops_count",1,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
"client","W7","T3","consensus","bizur","overall","runtime_sec",1,32.652,32.652,32.652,32.652,32.652,32.652,32.652,32.652,32.652,32.652,32.652
"client","W7","T3","consensus","bizur","overall","throughput",1,306.259953448487,306.259953448487,306.259953448487,306.259953448487,306.259953448487,306.259953448487,306.259953448487,306.259953448487,306.259953448487,306.259953448487,306.259953448487
