"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","value","timestamp"
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0,1712506411
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.12,1712506413
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.02,1712506415
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.02,1712506417
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.03,1712506419
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.01,1712506421
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.03,1712506423
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.12,1712506425
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.03,1712506427
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.33,1712506429
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.01,1712506431
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.01,1712506433
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.01,1712506435
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.02,1712506437
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.69,1712506439
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.91,1712506441
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.53,1712506443
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.41,1712506445
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.4,1712506447
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.27,1712506449
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.43,1712506451
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.4,1712506453
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.28,1712506455
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.35,1712506457
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.31,1712506459
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.15,1712506461
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.02,1712506463
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.3,1712506465
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.02,1712506467
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.02,1712506469
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0,1712506471
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.01,1712506473
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0,1712506475
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.01,1712506477
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.06,1712506479
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.01,1712506481
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.04,1712506483
"store","W7","T1","consensus","raft","cpu","system.cpu.usage",0.01,1712506485
