"nodeType","testGroup","testName","clusterType","consensusAlg","category","metric","value","timestamp"
"store","W7","T1","consensus","raft","memory","jvm.memory.used",16623520,1712506411
"store","W7","T1","consensus","raft","memory","jvm.memory.used",17947904,1712506413
"store","W7","T1","consensus","raft","memory","jvm.memory.used",18587136,1712506415
"store","W7","T1","consensus","raft","memory","jvm.memory.used",19156056,1712506417
"store","W7","T1","consensus","raft","memory","jvm.memory.used",19733080,1712506419
"store","W7","T1","consensus","raft","memory","jvm.memory.used",16342608,1712506421
"store","W7","T1","consensus","raft","memory","jvm.memory.used",16849864,1712506423
"store","W7","T1","consensus","raft","memory","jvm.memory.used",17472456,1712506425
"store","W7","T1","consensus","raft","memory","jvm.memory.used",17967232,1712506427
"store","W7","T1","consensus","raft","memory","jvm.memory.used",18465584,1712506429
"store","W7","T1","consensus","raft","memory","jvm.memory.used",18981632,1712506431
"store","W7","T1","consensus","raft","memory","jvm.memory.used",19469016,1712506433
"store","W7","T1","consensus","raft","memory","jvm.memory.used",19913240,1712506435
"store","W7","T1","consensus","raft","memory","jvm.memory.used",20402912,1712506437
"store","W7","T1","consensus","raft","memory","jvm.memory.used",25637064,1712506439
"store","W7","T1","consensus","raft","memory","jvm.memory.used",27062120,1712506441
"store","W7","T1","consensus","raft","memory","jvm.memory.used",28710288,1712506443
"store","W7","T1","consensus","raft","memory","jvm.memory.used",30689400,1712506445
"store","W7","T1","consensus","raft","memory","jvm.memory.used",31138296,1712506447
"store","W7","T1","consensus","raft","memory","jvm.memory.used",30929456,1712506449
"store","W7","T1","consensus","raft","memory","jvm.memory.used",33315536,1712506451
"store","W7","T1","consensus","raft","memory","jvm.memory.used",32040200,1712506453
"store","W7","T1","consensus","raft","memory","jvm.memory.used",31005736,1712506455
"store","W7","T1","consensus","raft","memory","jvm.memory.used",31821856,1712506457
"store","W7","T1","consensus","raft","memory","jvm.memory.used",36175544,1712506459
"store","W7","T1","consensus","raft","memory","jvm.memory.used",32312864,1712506461
"store","W7","T1","consensus","raft","memory","jvm.memory.used",32845472,1712506463
"store","W7","T1","consensus","raft","memory","jvm.memory.used",33356296,1712506465
"store","W7","T1","consensus","raft","memory","jvm.memory.used",33871888,1712506467
"store","W7","T1","consensus","raft","memory","jvm.memory.used",34390552,1712506469
"store","W7","T1","consensus","raft","memory","jvm.memory.used",34907200,1712506471
