"nodeType","testName","category","metric","value","timestamp"
"client","S1","latency","read",17815,"1684045087417"
"client","S1","latency","read",9033,"1684045087447"
"client","S1","latency","read",7637,"1684045087455"
"client","S1","latency","read",7065,"1684045087462"
"client","S1","latency","read",5912,"1684045087506"
"client","S1","latency","read",6164,"1684045087512"
"client","S1","latency","read",10121,"1684045087523"
"client","S1","latency","read",9931,"1684045087560"
"client","S1","latency","read",9155,"1684045087570"
"client","S1","latency","read",8829,"1684045087586"
"client","S1","latency","read",7230,"1684045087616"
"client","S1","latency","read",7184,"1684045087632"
"client","S1","latency","read",6139,"1684045087639"
"client","S1","latency","read",9267,"1684045087662"
"client","S1","latency","read",4869,"1684045087684"
"client","S1","latency","read",5016,"1684045087723"
"client","S1","latency","read",5636,"1684045087738"
"client","S1","latency","read",7914,"1684045087791"
"client","S1","latency","read",4696,"1684045087823"
"client","S1","latency","read",5092,"1684045087836"
"client","S1","latency","read",4715,"1684045087856"
"client","S1","latency","read",5314,"1684045087867"
"client","S1","latency","read",5339,"1684045087872"
"client","S1","latency","read",4269,"1684045087881"
"client","S1","latency","read",4475,"1684045087890"
"client","S1","latency","read",4714,"1684045087915"
"client","S1","latency","read",4351,"1684045087919"
"client","S1","latency","read",4910,"1684045087924"
"client","S1","latency","read",4742,"1684045087951"
"client","S1","latency","read",11817,"1684045087963"
"client","S1","latency","read",4395,"1684045087967"
"client","S1","latency","read",4749,"1684045087972"
"client","S1","latency","read",12701,"1684045088014"
"client","S1","latency","read",5754,"1684045088030"
"client","S1","latency","read",5300,"1684045088035"
"client","S1","latency","read",7101,"1684045088042"
"client","S1","latency","read",4356,"1684045088052"
"client","S1","latency","read",4161,"1684045088056"
"client","S1","latency","read",4340,"1684045088060"
"client","S1","latency","read",4439,"1684045088070"
"client","S1","latency","read",4226,"1684045088074"
"client","S1","latency","read",5137,"1684045088085"
"client","S1","latency","read",4194,"1684045088089"
"client","S1","latency","read",5739,"1684045088095"
"client","S1","latency","read",6595,"1684045088112"
"client","S1","latency","read",5698,"1684045088133"
"client","S1","latency","read",4532,"1684045088138"
"client","S1","latency","read",4150,"1684045088153"
"client","S1","latency","read",4721,"1684045088158"
"client","S1","latency","read",8892,"1684045088167"
"client","S1","latency","read",6896,"1684045088182"
"client","S1","latency","read",5361,"1684045088188"
"client","S1","latency","read",6826,"1684045088202"
"client","S1","latency","read",4988,"1684045088212"
"client","S1","latency","read",4059,"1684045088216"
"client","S1","latency","read",3963,"1684045088255"
"client","S1","latency","read",4087,"1684045088259"
"client","S1","latency","read",4142,"1684045088263"
"client","S1","latency","read",5137,"1684045088268"
"client","S1","latency","read",4936,"1684045088287"
"client","S1","latency","read",4198,"1684045088309"
"client","S1","latency","read",7354,"1684045088321"
"client","S1","latency","read",4086,"1684045088325"
"client","S1","latency","read",6203,"1684045088345"
"client","S1","latency","read",6269,"1684045088367"
"client","S1","latency","read",4018,"1684045088378"
"client","S1","latency","read",5118,"1684045088383"
"client","S1","latency","read",7815,"1684045088391"
"client","S1","latency","read",4476,"1684045088395"
"client","S1","latency","read",3852,"1684045088411"
"client","S1","latency","read",6594,"1684045088418"
"client","S1","latency","read",4701,"1684045088422"
"client","S1","latency","read",8911,"1684045088431"
"client","S1","latency","read",3832,"1684045088448"
"client","S1","latency","read",7647,"1684045088463"
"client","S1","latency","read",3992,"1684045088476"
"client","S1","latency","read",3999,"1684045088485"
"client","S1","latency","read",3760,"1684045088489"
"client","S1","latency","read",4128,"1684045088493"
"client","S1","latency","read",3857,"1684045088506"
"client","S1","latency","read",5232,"1684045088511"
"client","S1","latency","read",3860,"1684045088515"
"client","S1","latency","read",3810,"1684045088531"
"client","S1","latency","read",4059,"1684045088559"
"client","S1","latency","read",3876,"1684045088567"
"client","S1","latency","read",3704,"1684045088571"
"client","S1","latency","read",4073,"1684045088575"
"client","S1","latency","read",5182,"1684045088593"
"client","S1","latency","read",3860,"1684045088612"
"client","S1","latency","read",10183,"1684045088630"
"client","S1","latency","read",4429,"1684045088635"
"client","S1","latency","read",8069,"1684045088671"
"client","S1","latency","read",4194,"1684045088675"
"client","S1","latency","read",6769,"1684045088687"
"client","S1","latency","read",5171,"1684045088693"
"client","S1","latency","read",3846,"1684045088697"
"client","S1","latency","read",4784,"1684045088702"
"client","S1","latency","read",3838,"1684045088710"
"client","S1","latency","read",3918,"1684045088714"
"client","S1","latency","read",6505,"1684045088721"
"client","S1","latency","read",4686,"1684045088726"
