"nodeType","testName","category","metric","min","max","mean","p1","p5","p50","p90","p95","p99","p99.9","p99.99"
"client","S1","latency","read",2556,17815,4355.42276422764,2603.55,2768.4,3666.5,6953,8448.9,10699.33,15652.6360000001,17598.7636
"client","S1","latency","read-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S1","latency","update",2558,1002902,6338.1811023622,2658.7,2795.45,3786.5,6837.5,8211.05,11161.23,502827.112999995,952894.511299994
"client","S1","latency","update-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S1","latency","insert",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S1","latency","insert-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S1","latency","scan",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S1","latency","scan-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S1","latency","read-modify-write",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"client","S1","latency","read-modify-write-failed",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
