"nodeType","testName","category","metric","timestamp","value"
"store","S1","memory","jvm.memory.used",1684045074,14849296
"store","S1","memory","jvm.memory.used",1684045076,19818784
"store","S1","memory","jvm.memory.used",1684045078,16569448
"store","S1","memory","jvm.memory.used",1684045080,17293104
"store","S1","memory","jvm.memory.used",1684045082,17961544
"store","S1","memory","jvm.memory.used",1684045084,18580320
"store","S1","memory","jvm.memory.used",1684045087,20812176
"store","S1","memory","jvm.memory.used",1684045089,24542680
"store","S1","memory","jvm.memory.used",1684045091,27848096
"store","S1","memory","jvm.memory.used",1684045093,27815776
"store","S1","memory","jvm.memory.used",1684045095,28405088
"store","S1","memory","jvm.memory.used",1684045097,29187592
"store","S1","memory","jvm.memory.used",1684045099,29553560
"store","S1","memory","jvm.memory.used",1684045101,29935512
"store","S1","memory","insights.store.sizeOf.keys",1684045074729,0
"store","S1","memory","insights.store.sizeOf.keys",1684045076721,0
"store","S1","memory","insights.store.sizeOf.keys",1684045078721,0
"store","S1","memory","insights.store.sizeOf.keys",1684045080721,0
"store","S1","memory","insights.store.sizeOf.keys",1684045082721,0
"store","S1","memory","insights.store.sizeOf.keys",1684045084721,0
"store","S1","memory","insights.store.sizeOf.keys",1684045086721,0
"store","S1","memory","insights.store.sizeOf.keys",1684045088722,2588
"store","S1","memory","insights.store.sizeOf.keys",1684045090722,6262
"store","S1","memory","insights.store.sizeOf.keys",1684045092722,8232
"store","S1","memory","insights.store.sizeOf.keys",1684045094722,8232
"store","S1","memory","insights.store.sizeOf.keys",1684045096722,8232
"store","S1","memory","insights.store.sizeOf.keys",1684045098722,8232
"store","S1","memory","insights.store.sizeOf.keys",1684045100722,8232
"store","S1","memory","insights.store.sizeOf.values",1684045074731,0
"store","S1","memory","insights.store.sizeOf.values",1684045076722,0
"store","S1","memory","insights.store.sizeOf.values",1684045078721,0
"store","S1","memory","insights.store.sizeOf.values",1684045080721,0
"store","S1","memory","insights.store.sizeOf.values",1684045082721,0
"store","S1","memory","insights.store.sizeOf.values",1684045084722,0
"store","S1","memory","insights.store.sizeOf.values",1684045086722,0
"store","S1","memory","insights.store.sizeOf.values",1684045088722,12317
"store","S1","memory","insights.store.sizeOf.values",1684045090722,29866
"store","S1","memory","insights.store.sizeOf.values",1684045092722,39240
"store","S1","memory","insights.store.sizeOf.values",1684045094722,39240
"store","S1","memory","insights.store.sizeOf.values",1684045096722,39240
"store","S1","memory","insights.store.sizeOf.values",1684045098722,39240
"store","S1","memory","insights.store.sizeOf.values",1684045100722,39240
"store","S1","memory","insights.store.sizeOf.total",1684045074733,0
"store","S1","memory","insights.store.sizeOf.total",1684045076722,0
"store","S1","memory","insights.store.sizeOf.total",1684045078722,0
"store","S1","memory","insights.store.sizeOf.total",1684045080721,0
"store","S1","memory","insights.store.sizeOf.total",1684045082721,0
"store","S1","memory","insights.store.sizeOf.total",1684045084722,0
"store","S1","memory","insights.store.sizeOf.total",1684045086722,0
"store","S1","memory","insights.store.sizeOf.total",1684045088722,14905
"store","S1","memory","insights.store.sizeOf.total",1684045090722,36128
"store","S1","memory","insights.store.sizeOf.total",1684045092722,47472
"store","S1","memory","insights.store.sizeOf.total",1684045094722,47472
"store","S1","memory","insights.store.sizeOf.total",1684045096722,47472
"store","S1","memory","insights.store.sizeOf.total",1684045098722,47472
"store","S1","memory","insights.store.sizeOf.total",1684045100722,47472
"store","S1","cpu","system.cpu.usage",1684045074,0
"store","S1","cpu","system.cpu.usage",1684045076,0.16
"store","S1","cpu","system.cpu.usage",1684045078,0.02
"store","S1","cpu","system.cpu.usage",1684045080,0.02
"store","S1","cpu","system.cpu.usage",1684045082,0.12
"store","S1","cpu","system.cpu.usage",1684045084,0.02
"store","S1","cpu","system.cpu.usage",1684045087,0.04
"store","S1","cpu","system.cpu.usage",1684045089,0.84
"store","S1","cpu","system.cpu.usage",1684045091,0.7
"store","S1","cpu","system.cpu.usage",1684045093,0.57
"store","S1","cpu","system.cpu.usage",1684045095,0.36
"store","S1","cpu","system.cpu.usage",1684045097,0.17
"store","S1","cpu","system.cpu.usage",1684045099,0
"store","S1","cpu","system.cpu.usage",1684045101,0.32
"store","S1","cpu","process.cpu.usage",1684045074,0
"store","S1","cpu","process.cpu.usage",1684045076,0.16
"store","S1","cpu","process.cpu.usage",1684045078,0.03
"store","S1","cpu","process.cpu.usage",1684045080,0.02
"store","S1","cpu","process.cpu.usage",1684045082,0.02
"store","S1","cpu","process.cpu.usage",1684045084,0.01
"store","S1","cpu","process.cpu.usage",1684045087,0.04
"store","S1","cpu","process.cpu.usage",1684045089,0.84
"store","S1","cpu","process.cpu.usage",1684045091,0.69
"store","S1","cpu","process.cpu.usage",1684045093,0.35
"store","S1","cpu","process.cpu.usage",1684045095,0.01
"store","S1","cpu","process.cpu.usage",1684045097,0.02
"store","S1","cpu","process.cpu.usage",1684045099,0.01
"store","S1","cpu","process.cpu.usage",1684045101,0
