READ latency raw data: op, timestamp(ms), latency(us)
read,778425,1684076158258
read,7089,1684076158310
read,8007,1684076158318
read,5767,1684076158359
read,5342,1684076158373
read,10110,1684076158383
read,6735,1684076158390
read,5037,1684076158395
read,8370,1684076158404
read,7780,1684076158411
read,5839,1684076158430
read,8046,1684076158438
read,5530,1684076158444
read,5504,1684076158450
read,7252,1684076158457
read,8342,1684076158465
read,8835,1684076158474
read,6716,1684076158501
read,5303,1684076158522
read,5654,1684076158536
read,6938,1684076158555
read,12980,1684076158568
read,12607,1684076158590
read,8880,1684076158599
read,10764,1684076158618
read,5006,1684076158631
read,4986,1684076158653
read,8770,1684076158661
read,11379,1684076158673
read,5809,1684076158697
read,8435,1684076158725
read,7451,1684076158762
read,4508,1684076158774
read,4284,1684076158788
read,4670,1684076158793
read,8816,1684076158811
read,4252,1684076158815
read,5497,1684076158821
read,3933,1684076158841
read,4152,1684076158845
read,3962,1684076158864
read,4249,1684076158868
read,6453,1684076158894
read,5166,1684076158923
read,4318,1684076158968
read,3754,1684076158991
read,3722,1684076158994
read,4343,1684076158999
read,5671,1684076159015
read,7340,1684076159029
read,6891,1684076159042
read,3491,1684076159045
read,3816,1684076159054
read,4092,1684076159070
read,3658,1684076159074
read,3670,1684076159077
read,3650,1684076159081
read,4351,1684076159085
read,4493,1684076159095
read,13298,1684076159115
read,5022,1684076159138
read,5083,1684076159150
read,3922,1684076159154
read,4830,1684076159179
read,5979,1684076159185
read,3537,1684076159194
read,12703,1684076159213
read,4707,1684076159218
read,3586,1684076159233
read,3750,1684076159242
read,7099,1684076159249
read,3619,1684076159253
read,6076,1684076159259
read,4607,1684076159264
read,3567,1684076159273
read,3700,1684076159291
read,3595,1684076159308
read,3512,1684076159317
read,3412,1684076159334
read,3396,1684076159338
read,4218,1684076159342
read,3879,1684076159363
read,8229,1684076159372
read,5139,1684076159384
read,3615,1684076159387
read,5936,1684076159409
read,3811,1684076159431
read,3413,1684076159440
read,4755,1684076159456
read,5308,1684076159467
read,3521,1684076159496
read,8147,1684076159504
read,3262,1684076159512
read,7781,1684076159520
read,5644,1684076159526
read,3289,1684076159529
read,4072,1684076159538
read,3544,1684076159551
read,3409,1684076159554
read,7393,1684076159570
read,9003,1684076159579
read,3273,1684076159587
read,3011,1684076159590
read,6182,1684076159597
read,3804,1684076159600
read,4753,1684076159605
read,5478,1684076159611
read,3830,1684076159650
read,3774,1684076159654
read,3477,1684076159663
read,3534,1684076159675
read,3515,1684076159678
read,3445,1684076159682
read,3514,1684076159707
read,3459,1684076159715
read,4291,1684076159725
read,4064,1684076159729
read,3206,1684076159732
read,3629,1684076159736
read,3815,1684076159740
read,3474,1684076159755
read,3360,1684076159759
read,3286,1684076159762
read,3379,1684076159766
read,3270,1684076159781
read,9141,1684076159802
read,3508,1684076159806
read,3522,1684076159809
read,6109,1684076159815
read,4431,1684076159830
read,5785,1684076159863
read,6884,1684076159869
read,3278,1684076159873
read,3289,1684076159876
read,3096,1684076159879
read,5397,1684076159885
read,3978,1684076159889
read,3773,1684076159915
read,3367,1684076159930
read,3828,1684076159952
read,3728,1684076159968
read,3242,1684076159983
read,3220,1684076159986
read,4961,1684076159991
read,3230,1684076159994
read,4155,1684076160030
read,3794,1684076160040
read,3708,1684076160053
read,3564,1684076160085
read,3510,1684076160097
read,3443,1684076160106
read,3374,1684076160110
read,8995,1684076160119
read,3631,1684076160122
read,3432,1684076160126
read,4447,1684076160135
read,3217,1684076160138
read,3192,1684076160142
read,4031,1684076160146
read,4235,1684076160150
read,3410,1684076160169
read,3371,1684076160226
read,3200,1684076160229
read,3177,1684076160233
read,3064,1684076160236
read,3111,1684076160239
read,7230,1684076160266
read,4075,1684076160270
read,3185,1684076160273
read,3114,1684076160276
read,3188,1684076160286
read,3176,1684076160295
