READ latency raw data: op, timestamp(ms), latency(us)
read,473225,1684048448044
read,8786,1684048448053
read,6485,1684048448140
read,5864,1684048448146
read,5477,1684048448169
read,5244,1684048448174
read,10403,1684048448208
read,5636,1684048448249
read,9083,1684048448271
read,11781,1684048448283
read,5401,1684048448288
read,8133,1684048448305
read,8777,1684048448324
read,8886,1684048448333
read,7979,1684048448341
read,6632,1684048448370
read,5575,1684048448411
read,4914,1684048448424
read,4528,1684048448428
read,5153,1684048448449
read,5105,1684048448454
read,4687,1684048448522
read,4169,1684048448526
read,4320,1684048448530
read,5072,1684048448535
read,5191,1684048448540
read,6065,1684048448579
read,4304,1684048448584
read,4150,1684048448614
read,4273,1684048448624
read,4313,1684048448655
read,7119,1684048448680
read,4050,1684048448697
read,8641,1684048448714
read,4236,1684048448718
read,4283,1684048448723
read,4002,1684048448727
read,4181,1684048448731
read,5162,1684048448736
read,5377,1684048448786
read,4618,1684048448804
read,4130,1684048448828
read,4098,1684048448832
read,3753,1684048448853
read,4391,1684048448863
read,3768,1684048448873
read,3929,1684048448883
read,4087,1684048448945
read,3949,1684048448949
read,4766,1684048448976
read,5213,1684048449011
read,3736,1684048449020
read,4868,1684048449032
read,4491,1684048449058
read,4109,1684048449081
read,3884,1684048449115
read,3656,1684048449118
read,7248,1684048449148
read,3631,1684048449152
read,3986,1684048449163
read,3602,1684048449166
read,3637,1684048449178
read,3455,1684048449188
read,4108,1684048449203
read,3981,1684048449225
read,4880,1684048449242
read,3811,1684048449255
read,3569,1684048449271
read,3521,1684048449274
read,3637,1684048449313
read,3581,1684048449322
read,6552,1684048449343
read,4931,1684048449360
read,3533,1684048449364
read,3441,1684048449373
read,3473,1684048449376
read,3509,1684048449380
read,3446,1684048449388
read,3420,1684048449402
read,3422,1684048449405
read,3345,1684048449417
read,3431,1684048449427
read,4020,1684048449431
read,3407,1684048449434
read,3315,1684048449438
read,6701,1684048449455
read,5697,1684048449466
read,4447,1684048449484
read,5246,1684048449489
read,4848,1684048449494
read,7267,1684048449502
read,4096,1684048449515
read,3627,1684048449519
read,3793,1684048449536
read,3456,1684048449540
read,8408,1684048449563
read,6837,1684048449570
read,3547,1684048449587
read,3358,1684048449590
read,3568,1684048449594
read,3732,1684048449598
read,3495,1684048449610
read,3305,1684048449614
read,3623,1684048449617
read,3352,1684048449666
read,3542,1684048449689
read,3291,1684048449693
read,3591,1684048449696
read,5668,1684048449702
read,3465,1684048449710
read,3276,1684048449714
read,5595,1684048449765
read,3486,1684048449788
read,3651,1684048449791
read,3168,1684048449794
read,3200,1684048449803
read,3299,1684048449834
read,3309,1684048449838
read,3419,1684048449848
read,4918,1684048449858
read,3778,1684048449862
read,3521,1684048449865
read,6417,1684048449872
read,4225,1684048449892
read,3661,1684048449907
read,3368,1684048449911
read,4483,1684048449915
read,3504,1684048449955
read,5404,1684048449966
read,3818,1684048449970
read,4738,1684048449981
read,4605,1684048449990
read,3349,1684048449993
read,4032,1684048449997
read,3318,1684048450008
read,3330,1684048450023
read,12209,1684048450035
read,3548,1684048450068
read,3324,1684048450072
read,6752,1684048450094
read,3477,1684048450098
read,3386,1684048450101
read,5220,1684048450115
read,3295,1684048450124
read,3232,1684048450127
read,3212,1684048450135
read,3360,1684048450139
read,3178,1684048450142
read,4342,1684048450146
read,3464,1684048450150
read,4298,1684048450154
read,4250,1684048450169
read,3187,1684048450172
read,4172,1684048450181
read,3142,1684048450194
read,3223,1684048450202
read,5291,1684048450207
read,4751,1684048450228
read,3192,1684048450236
read,4214,1684048450246
read,3303,1684048450249
read,9692,1684048450267
read,5680,1684048450273
read,3053,1684048450288
read,3015,1684048450302
read,3366,1684048450305
