READ latency raw data: op, timestamp(ms), latency(us)
read,601607,1650712199970
read,52448,1650712200052
read,49090,1650712200246
read,49075,1650712200295
read,7026,1650712200396
read,8632,1650712200546
read,54900,1650712200650
read,93171,1650712200795
read,8042,1650712200803
read,134288,1650712200987
read,8859,1650712200996
read,10106,1650712201193
read,92396,1650712201339
read,101656,1650712201608
read,14475,1650712201623
read,52165,1650712201890
read,49587,1650712201939
read,52365,1650712201992
read,95931,1650712202088
read,51118,1650712202139
read,49526,1650712202341
read,48942,1650712202390
read,93284,1650712202483
read,54028,1650712202537
read,6710,1650712202544
read,93536,1650712202729
read,97667,1650712202835
read,54984,1650712202898
read,137123,1650712203035
read,6819,1650712203050
read,136949,1650712203187
read,8312,1650712203196
read,134417,1650712203330
read,49038,1650712203379
read,10653,1650712203390
read,50643,1650712203440
read,91370,1650712203532
read,48578,1650712203723
read,93348,1650712203959
read,134238,1650712204155
read,15413,1650712204220
read,47542,1650712204410
read,93114,1650712204503
read,134120,1650712204695
read,48298,1650712204949
read,7467,1650712205047
read,96018,1650712205143
read,50121,1650712205635
read,7792,1650712205788
read,91722,1650712205880
read,6066,1650712205893
read,8477,1650712206080
read,6417,1650712206086
read,132635,1650712206219
read,90268,1650712206407
read,7991,1650712206415
read,177644,1650712206600
read,90244,1650712206751
read,50588,1650712206809
read,130750,1650712206939
read,50370,1650712207095
read,6968,1650712207102
read,90799,1650712207287
read,7628,1650712207295
read,98487,1650712207493
read,49403,1650712207591
read,55039,1650712207894
read,113543,1650712208007
read,7599,1650712208208
read,6260,1650712208214
read,51023,1650712208450
read,6608,1650712208594
read,46718,1650712208691
read,8269,1650712208699
read,136807,1650712208836
read,94717,1650712208931
read,96515,1650712209034
read,49076,1650712209083
read,92933,1650712209176
read,49504,1650712209226
read,48916,1650712209324
read,49502,1650712209512
read,5978,1650712209519
read,48380,1650712209567
read,57305,1650712209624
read,97721,1650712209722
read,93331,1650712209815
read,135237,1650712209963
read,51560,1650712210023
read,46579,1650712210307
read,7379,1650712210314
read,90742,1650712210499
read,49880,1650712210651
read,49442,1650712210750
read,51540,1650712210852
read,9982,1650712210862
read,132816,1650712210995
read,49981,1650712211045
read,48827,1650712211094
read,48459,1650712211192
read,5378,1650712211197
read,129946,1650712211327
