READ latency raw data: op, timestamp(ms), latency(us)
read,440957,1684502173254
read,32935,1684502173287
read,8254,1684502173343
read,10090,1684502173377
read,6834,1684502173419
read,6300,1684502173425
read,6397,1684502173432
read,7378,1684502173439
read,4262,1684502173453
read,10460,1684502173489
read,5641,1684502173501
read,6478,1684502173516
read,3650,1684502173519
read,3638,1684502173523
read,6159,1684502173536
read,5662,1684502173568
read,7435,1684502173595
read,4993,1684502173654
read,5207,1684502173660
read,3683,1684502173671
read,6088,1684502173692
read,6679,1684502173698
read,4828,1684502173703
read,5228,1684502173708
read,4906,1684502173729
read,4984,1684502173780
read,4544,1684502173785
read,4932,1684502173797
read,4582,1684502173801
read,4280,1684502173805
read,5107,1684502173826
read,6875,1684502173833
read,3499,1684502173846
read,5101,1684502173856
read,4693,1684502173883
read,4645,1684502173887
read,4959,1684502173892
read,4628,1684502173897
read,6969,1684502173922
read,3905,1684502173926
read,5316,1684502173945
read,5480,1684502173967
read,4712,1684502173972
read,6464,1684502173978
read,4168,1684502173982
read,6645,1684502174007
read,4721,1684502174023
read,5509,1684502174035
read,6635,1684502174042
read,3279,1684502174045
read,7883,1684502174065
read,3859,1684502174069
read,4828,1684502174073
read,3697,1684502174090
read,4494,1684502174094
read,6903,1684502174101
read,2852,1684502174121
read,3611,1684502174140
read,8590,1684502174149
read,4170,1684502174172
read,7754,1684502174179
read,5019,1684502174199
read,4187,1684502174212
read,4570,1684502174222
read,7247,1684502174230
read,4414,1684502174255
read,4273,1684502174259
read,5325,1684502174264
read,4478,1684502174286
read,4186,1684502174290
read,4610,1684502174325
read,4469,1684502174337
read,5008,1684502174342
read,2996,1684502174345
read,5871,1684502174351
read,5534,1684502174367
read,3393,1684502174402
read,3539,1684502174422
read,7593,1684502174448
read,3004,1684502174456
read,2962,1684502174472
read,6135,1684502174479
read,8981,1684502174510
read,5584,1684502174516
read,5257,1684502174521
read,4864,1684502174534
read,4329,1684502174545
read,4163,1684502174556
read,6235,1684502174562
read,4949,1684502174572
read,3675,1684502174576
read,6483,1684502174589
read,4255,1684502174594
read,3945,1684502174598
read,4418,1684502174602
read,4525,1684502174613
read,4599,1684502174618
read,4484,1684502174629
read,4495,1684502174634
read,3084,1684502174637
read,3148,1684502174640
read,4458,1684502174653
read,5497,1684502174658
read,5185,1684502174693
read,4079,1684502174697
read,4887,1684502174702
read,4468,1684502174713
read,4792,1684502174737
read,6341,1684502174754
read,6125,1684502174768
read,4166,1684502174780
read,9699,1684502174789
read,4580,1684502174794
read,4135,1684502174817
read,4131,1684502174822
read,5144,1684502174827
read,5291,1684502174866
read,7070,1684502174883
read,6038,1684502174894
read,6142,1684502174900
read,5030,1684502174905
read,3940,1684502174910
read,5511,1684502174916
read,3182,1684502174919
read,4269,1684502174938
read,3983,1684502174948
read,2781,1684502174960
read,4932,1684502174972
read,6149,1684502174993
read,6599,1684502175000
read,4597,1684502175004
read,8368,1684502175013
read,4054,1684502175017
read,4005,1684502175026
read,3970,1684502175030
read,4235,1684502175041
read,5101,1684502175058
read,6980,1684502175065
read,2729,1684502175083
read,6333,1684502175090
read,2736,1684502175092
read,2841,1684502175095
read,4151,1684502175104
read,4731,1684502175116
read,3515,1684502175120
read,3850,1684502175124
read,3855,1684502175127
read,4275,1684502175144
read,4543,1684502175149
read,5394,1684502175154
read,3726,1684502175162
read,4145,1684502175171
read,6223,1684502175194
read,3949,1684502175198
read,6516,1684502175204
read,2790,1684502175207
read,3845,1684502175211
read,3528,1684502175232
read,5364,1684502175254
read,3996,1684502175263
read,4567,1684502175282
read,4060,1684502175286
read,2808,1684502175289
read,2718,1684502175308
read,3668,1684502175312
read,2961,1684502175332
read,4120,1684502175342
read,4859,1684502175368
read,7524,1684502175382
read,3914,1684502175386
read,4311,1684502175390
read,4109,1684502175394
read,4455,1684502175399
read,4118,1684502175403
read,2734,1684502175405
read,6163,1684502175431
read,4150,1684502175444
read,3758,1684502175454
read,5808,1684502175460
read,5130,1684502175465
read,6190,1684502175471
read,2821,1684502175479
read,4679,1684502175483
read,6621,1684502175497
read,4054,1684502175501
read,3111,1684502175511
read,4207,1684502175516
read,2637,1684502175518
read,4203,1684502175573
read,48341,1684502175724
read,49025,1684502175876
read,48660,1684502176096
read,6682,1684502176102
read,4062,1684502176106
read,5307,1684502176116
read,5444,1684502176122
read,5581,1684502176128
read,48527,1684502176191
read,2479,1684502176369
read,3069,1684502176372
read,2517,1684502176392
read,2550,1684502176395
read,3718,1684502176452
read,3662,1684502176519
read,3324,1684502176523
read,4011,1684502176619
read,5006,1684502176624
read,4211,1684502176724
read,43875,1684502177207
read,45026,1684502177323
read,4267,1684502177327
read,2839,1684502177338
read,43617,1684502177475
read,4789,1684502177480
read,47580,1684502177623
read,48733,1684502177724
read,3604,1684502178023
read,4949,1684502178129
read,4363,1684502178133
read,3959,1684502178137
read,47529,1684502178328
read,3899,1684502178423
read,2483,1684502178425
read,47687,1684502178473
read,6712,1684502178570
read,5464,1684502178576
read,4992,1684502178581
read,4569,1684502178685
read,3943,1684502178884
read,47959,1684502179023
read,5485,1684502179183
read,3707,1684502179235
read,47143,1684502179484
read,47165,1684502179531
read,4922,1684502179536
read,44765,1684502179735
read,43325,1684502180155
read,4067,1684502180159
read,43748,1684502180203
